id,source,timestamp,latitude,longitude,temperature,pressure,rainfall,wind_speed,wind_direction,verification_status,confidence_score,quality_flags
e916f472-7b78-4b46-a7e3-a8757ad21ba3,ERA5,2024-01-01T00:00:00Z,23.25,80.0,13.055,1016.668,0.0,1.777,262.48,validated,0.85,
f10fb04d-ee7f-43a7-8838-1c00db34ecb2,ERA5,2024-01-01T01:00:00Z,23.25,80.0,12.885,1016.976,0.0,1.816,275.89,validated,0.85,
4f3a8c07-d7be-4f61-9ab2-8d5a64b1ca5b,ERA5,2024-01-01T02:00:00Z,23.25,80.0,13.671,1017.751,0.0,1.606,278.26,validated,0.85,
435f7388-c4dd-4d31-8806-e9c9abfe6bc9,ERA5,2024-01-01T03:00:00Z,23.25,80.0,14.33,1018.326,0.0,1.567,285.09,validated,0.85,
3cb68382-73c5-4c04-a8f5-38b4ded676d0,ERA5,2024-01-01T04:00:00Z,23.25,80.0,15.126,1018.801,0.0,1.59,301.52,validated,0.85,
885c8fbc-9d3f-4c39-8854-78157a45f422,ERA5,2024-01-01T05:00:00Z,23.25,80.0,19.764,1018.617,0.0,1.78,328.54,validated,0.85,
023195be-a0a5-4d7c-8488-95b551b990b2,ERA5,2024-01-01T06:00:00Z,23.25,80.0,21.874,1017.407,0.0,1.58,354.21,validated,0.85,
0b001e51-d07a-43a8-b0e0-b29390befaa1,ERA5,2024-01-01T07:00:00Z,23.25,80.0,22.301,1016.397,0.0019,1.134,25.36,validated,0.85,
3a3f769f-4c9d-457e-9489-7199cb7de434,ERA5,2024-01-01T08:00:00Z,23.25,80.0,25.059,1014.907,0.0048,1.052,59.23,validated,0.85,
6ef0cc8e-2c2b-4fb3-a846-f7b95e648e9e,ERA5,2024-01-01T09:00:00Z,23.25,80.0,25.294,1014.286,0.0,0.849,82.9,validated,0.85,
8f002a4c-1385-48f3-bc8f-5818b2fd8bd6,ERA5,2024-01-01T10:00:00Z,23.25,80.0,23.335,1013.899,0.0,0.675,125.01,validated,0.85,
0b0f8a0b-cfc0-4051-9089-e8a89810cd48,ERA5,2024-01-01T11:00:00Z,23.25,80.0,23.353,1013.758,0.0,0.724,199.96,validated,0.85,
67aa3118-1047-44e5-b796-c2bf3786734f,ERA5,2024-01-01T12:00:00Z,23.25,80.0,22.682,1013.974,0.0,1.88,216.65,validated,0.85,
d10147c7-d703-4a05-9f16-62a5f2b3cd44,ERA5,2024-01-01T13:00:00Z,23.25,80.0,22.27,1014.188,0.0,1.89,220.06,validated,0.85,
