pair_index,timestamp,match_status,time_difference_minutes,distance_km,variable,era5_value,open-meteo_value,absolute_difference,percent_difference,agreement_flag
0,2024-01-01T00:00:00Z,MATCHED,0.0,1.808,temperature,13.055,12.9,0.155,1.187,SOURCE_AGREEMENT_HIGH
0,2024-01-01T00:00:00Z,MATCHED,0.0,1.808,pressure,1016.668,970.2,46.468,4.571,SOURCE_AGREEMENT_HIGH
0,2024-01-01T00:00:00Z,MATCHED,0.0,1.808,rainfall,0.0,0.0,0.0,,SOURCE_AGREEMENT_HIGH
0,2024-01-01T00:00:00Z,MATCHED,0.0,1.808,wind_speed,1.777,0.82,0.957,53.855,SOURCE_DISAGREEMENT
1,2024-01-01T01:00:00Z,MATCHED,0.0,1.808,temperature,12.885,13.3,0.415,3.12,SOURCE_AGREEMENT_HIGH
1,2024-01-01T01:00:00Z,MATCHED,0.0,1.808,pressure,1016.976,971.2,45.776,4.501,SOURCE_AGREEMENT_HIGH
1,2024-01-01T01:00:00Z,MATCHED,0.0,1.808,rainfall,0.0,0.0,0.0,,SOURCE_AGREEMENT_HIGH
1,2024-01-01T01:00:00Z,MATCHED,0.0,1.808,wind_speed,1.816,1.63,0.186,10.242,SOURCE_AGREEMENT_MEDIUM
2,2024-01-01T02:00:00Z,MATCHED,0.0,1.808,temperature,13.671,14.5,0.829,5.717,SOURCE_AGREEMENT_MEDIUM
2,2024-01-01T02:00:00Z,MATCHED,0.0,1.808,pressure,1017.751,971.7,46.051,4.525,SOURCE_AGREEMENT_HIGH
2,2024-01-01T02:00:00Z,MATCHED,0.0,1.808,rainfall,0.0,0.0,0.0,,SOURCE_AGREEMENT_HIGH
2,2024-01-01T02:00:00Z,MATCHED,0.0,1.808,wind_speed,1.606,1.84,0.234,12.717,SOURCE_AGREEMENT_MEDIUM
3,2024-01-01T03:00:00Z,MATCHED,0.0,1.808,temperature,14.33,17.4,3.07,17.644,SOURCE_DISAGREEMENT
3,2024-01-01T03:00:00Z,MATCHED,0.0,1.808,pressure,1018.326,972.9,45.426,4.461,SOURCE_AGREEMENT_HIGH
3,2024-01-01T03:00:00Z,MATCHED,0.0,1.808,rainfall,0.0,0.0,0.0,,SOURCE_AGREEMENT_HIGH
3,2024-01-01T03:00:00Z,MATCHED,0.0,1.808,wind_speed,1.567,1.48,0.087,5.552,SOURCE_AGREEMENT_MEDIUM
4,2024-01-01T04:00:00Z,MATCHED,0.0,1.808,temperature,15.126,20.4,5.274,25.853,SOURCE_DISAGREEMENT
4,2024-01-01T04:00:00Z,MATCHED,0.0,1.808,pressure,1018.801,973.9,44.901,4.407,SOURCE_AGREEMENT_HIGH
4,2024-01-01T04:00:00Z,MATCHED,0.0,1.808,rainfall,0.0,0.0,0.0,,SOURCE_AGREEMENT_HIGH
4,2024-01-01T04:00:00Z,MATCHED,0.0,1.808,wind_speed,1.59,0.45,1.14,71.698,SOURCE_DISAGREEMENT
5,2024-01-01T05:00:00Z,MATCHED,0.0,1.808,temperature,19.764,22.9,3.136,13.694,SOURCE_AGREEMENT_MEDIUM
5,2024-01-01T05:00:00Z,MATCHED,0.0,1.808,pressure,1018.617,973.7,44.917,4.41,SOURCE_AGREEMENT_HIGH
