pair_index,timestamp,match_status,confidence_score,marginal_match,fused_temperature,fused_pressure,fused_rainfall,fused_wind_speed
0,2024-01-01T00:00:00Z,MATCHED,0.8,False,12.977,993.434,0.0,
1,2024-01-01T01:00:00Z,MATCHED,0.9,False,13.093,994.088,0.0,1.723
2,2024-01-01T02:00:00Z,MATCHED,0.8,False,14.085,994.726,0.0,1.723
3,2024-01-01T03:00:00Z,MATCHED,0.7,False,,995.613,0.0,1.523
4,2024-01-01T04:00:00Z,MATCHED,0.6,False,,996.351,0.0,
5,2024-01-01T05:00:00Z,MATCHED,0.7,False,21.332,996.159,0.0,
6,2024-01-01T06:00:00Z,MATCHED,0.8,False,23.337,995.154,0.0,1.63
7,2024-01-01T07:00:00Z,MATCHED,0.7,False,24.151,993.948,0.001,
8,2024-01-01T08:00:00Z,MATCHED,0.7,False,25.779,992.754,0.002,
9,2024-01-01T09:00:00Z,MATCHED,0.8,False,25.947,992.093,0.0,
10,2024-01-01T10:00:00Z,MATCHED,0.9,False,24.767,991.699,0.0,0.693
11,2024-01-01T11:00:00Z,MATCHED,0.7,False,24.477,991.629,0.0,
12,2024-01-01T12:00:00Z,MATCHED,0.9,False,22.391,991.637,0.0,1.94
13,2024-01-01T13:00:00Z,MATCHED,0.8,False,21.435,991.994,0.0,1.83
14,2024-01-01T14:00:00Z,MATCHED,1.0,False,20.017,992.706,0.0,1.867
15,2024-01-01T15:00:00Z,MATCHED,0.9,False,18.505,993.273,0.0,2.027
16,2024-01-01T16:00:00Z,MATCHED,0.9,False,18.001,993.723,0.0,1.914
17,2024-01-01T17:00:00Z,MATCHED,0.9,False,16.693,993.808,0.0,2.05
18,2024-01-01T18:00:00Z,MATCHED,0.8,False,16.282,993.63,0.0,
19,2024-01-01T19:00:00Z,MATCHED,0.8,False,15.941,993.177,0.0,
20,2024-01-01T20:00:00Z,MATCHED,0.8,False,15.244,992.97,0.0,
21,2024-01-01T21:00:00Z,MATCHED,1.0,False,14.498,992.688,0.0,1.56
22,2024-01-01T22:00:00Z,MATCHED,1.0,False,13.893,992.649,0.0,1.388
23,2024-01-01T23:00:00Z,MATCHED,1.0,False,13.498,992.571,0.0,1.333
24,2024-01-02T00:00:00Z,MATCHED,0.8,False,13.806,992.663,0.0,1.329
25,2024-01-02T01:00:00Z,MATCHED,0.8,False,13.668,993.49,0.0,1.369
26,2024-01-02T02:00:00Z,MATCHED,0.7,False,14.434,994.34,0.0,
27,2024-01-02T03:00:00Z,MATCHED,0.7,False,15.776,995.065,0.0,
28,2024-01-02T04:00:00Z,MATCHED,0.7,False,,995.574,0.0,0.474
29,2024-01-02T05:00:00Z,MATCHED,0.7,False,20.376,995.184,0.0,
30,2024-01-02T06:00:00Z,MATCHED,0.7,False,22.501,994.341,0.0,
31,2024-01-02T07:00:00Z,MATCHED,0.7,False,23.53,993.057,0.001,
32,2024-01-02T08:00:00Z,MATCHED,0.8,False,25.465,991.964,0.0,
33,2024-01-02T09:00:00Z,MATCHED,0.8,False,25.784,991.091,0.0,
34,2024-01-02T10:00:00Z,MATCHED,0.7,False,24.918,990.871,0.0,
35,2024-01-02T11:00:00Z,MATCHED,0.7,False,24.392,990.723,0.0,
36,2024-01-02T12:00:00Z,MATCHED,0.8,False,22.023,990.968,0.0,
37,2024-01-02T13:00:00Z,MATCHED,0.8,False,21.596,991.633,0.0,2.195
38,2024-01-02T14:00:00Z,MATCHED,0.7,False,21.056,992.279,0.0,
39,2024-01-02T15:00:00Z,MATCHED,0.8,False,18.91,992.987,0.0,3.119
40,2024-01-02T16:00:00Z,MATCHED,1.0,False,18.383,993.365,0.0,3.046
41,2024-01-02T17:00:00Z,MATCHED,1.0,False,17.401,993.247,0.0,2.906
42,2024-01-02T18:00:00Z,MATCHED,0.9,False,16.762,993.113,0.0,2.701
43,2024-01-02T19:00:00Z,MATCHED,0.8,False,16.479,992.613,0.0,
44,2024-01-02T20:00:00Z,MATCHED,1.0,False,16.081,992.386,0.0,1.941
45,2024-01-02T21:00:00Z,MATCHED,1.0,False,14.812,991.932,0.0,2.083
46,2024-01-02T22:00:00Z,MATCHED,0.7,False,15.141,991.841,0.0,
47,2024-01-02T23:00:00Z,MATCHED,1.0,False,14.805,991.467,0.0,2.738
48,2024-01-03T00:00:00Z,MATCHED,0.8,False,15.006,991.779,0.0,2.801
49,2024-01-03T01:00:00Z,MATCHED,0.9,False,15.767,992.515,0.0,2.651
50,2024-01-03T02:00:00Z,MATCHED,0.8,False,16.238,993.396,0.0,
51,2024-01-03T03:00:00Z,MATCHED,0.9,False,17.511,994.376,0.0,2.288
52,2024-01-03T04:00:00Z,MATCHED,0.8,False,,994.899,0.0,2.35
53,2024-01-03T05:00:00Z,MATCHED,0.8,False,21.94,994.5,0.0,2.517
54,2024-01-03T06:00:00Z,MATCHED,0.9,False,23.857,993.764,0.0,2.792
55,2024-01-03T07:00:00Z,MATCHED,0.7,False,24.625,992.351,0.0,
56,2024-01-03T08:00:00Z,MATCHED,0.8,False,25.78,991.288,0.0,
57,2024-01-03T09:00:00Z,MATCHED,0.9,False,25.827,990.424,0.004,1.399
58,2024-01-03T10:00:00Z,MATCHED,0.7,False,24.681,990.482,0.0,
59,2024-01-03T11:00:00Z,MATCHED,0.7,False,23.86,990.706,0.046,
60,2024-01-03T12:00:00Z,MATCHED,0.8,False,22.41,990.729,0.0,
61,2024-01-03T13:00:00Z,MATCHED,0.9,False,21.09,991.149,0.0,3.198
