report_id,event_category,predicted_event_category,event_classification_confidence,risk_label,risk_score,report_timestamp,latitude,longitude,verification_status,evidence_sources,evidence_support_score,verification_reasons
fda1d1ed-d0c7-410c-8853-5796e6dae6fc,FLOODING,FLOODING,0.2715,MEDIUM_RISK,0.4,2026-07-14T10:32:00Z,23.1815,79.9864,INSUFFICIENT_EVIDENCE,,,No configured evidence source had a temporally/spatially matched record with the required variable available.
859f9e32-1fc0-4e7b-807a-cc3027a286ec,FLOODING,FLOODING,0.2715,MEDIUM_RISK,0.4,2026-07-14T10:34:00Z,23.1816,79.9865,INSUFFICIENT_EVIDENCE,,,No configured evidence source had a temporally/spatially matched record with the required variable available.
2500d2b8-41b9-404e-8f46-0bc676c1fa2e,FOG,FOG,0.2767,MEDIUM_RISK,0.4,2026-07-15T05:10:00Z,28.5562,77.1,INSUFFICIENT_EVIDENCE,,,No configured evidence source had a temporally/spatially matched record with the required variable available.
34f36a05-8161-472e-a25a-dc8125e67edb,THUNDERSTORM,THUNDERSTORM,0.2483,MEDIUM_RISK,0.4,2026-07-16T18:45:00Z,23.2599,77.4126,INSUFFICIENT_EVIDENCE,,,No configured evidence source had a temporally/spatially matched record with the required variable available.
bf186e06-4642-46b2-acae-bd50cf7bb0fd,FLOODING,FLOODING,0.2236,MEDIUM_RISK,0.4,2026-07-14T10:40:00Z,23.1817,79.9863,INSUFFICIENT_EVIDENCE,,,No configured evidence source had a temporally/spatially matched record with the required variable available.
d69f5b8d-58f7-4ceb-bcd4-d86fbba88f9a,DUST_STORM,DUST_STORM,0.233,HIGH_RISK,1.0,,26.9124,75.7873,INSUFFICIENT_EVIDENCE,,,Report has no timestamp -- cannot be temporally corroborated.
95e39309-b28e-4217-860a-e7a24d126821,STRONG_WIND,STRONG_WIND,0.1709,HIGH_RISK,1.0,2026-07-17T09:00:00Z,128.5,80.2707,INSUFFICIENT_EVIDENCE,,,No configured evidence source had a temporally/spatially matched record with the required variable available.
3d5546e9-8733-4a77-a2f8-60bbecb8688a,FLOODING,FLOODING,0.1921,MEDIUM_RISK,0.4,2026-07-20T14:00:00Z,18.5204,73.8567,INSUFFICIENT_EVIDENCE,,,No configured evidence source had a temporally/spatially matched record with the required variable available.
aae3642c-207a-4f8b-b62b-81c93631a7e8,THUNDERSTORM,THUNDERSTORM,0.2652,MEDIUM_RISK,0.4,2026-07-21T19:15:00Z,17.385,78.4867,INSUFFICIENT_EVIDENCE,,,No configured evidence source had a temporally/spatially matched record with the required variable available.
32b70b74-2d06-4498-9e40-99b4d8bfdc20,HEATWAVE,HEATWAVE,0.332,LOW_RISK,0.25,2026-05-25T12:30:00Z,23.0225,72.5714,INSUFFICIENT_EVIDENCE,,,No configured evidence source had a temporally/spatially matched record with the required variable available.
