Model,Target,Horizon_h,MAE,RMSE,R2,Precision,Recall,F1,ROC_AUC,Train_samples,Test_samples
NaivePersistence,temperature,1,0.9643485502283106,1.489459238993168,0.9353638258636267,,,,,12263,2628
RandomForest,temperature,1,0.43637482414172785,0.6130483792159264,0.9890501569532963,,,,,12263,2628
HistGradientBoosting,temperature,1,0.36427052146227484,0.5086891552755525,0.9924608331469404,,,,,12263,2628
NaivePersistence,temperature,3,2.534966723744292,3.334522720769228,0.6760442006995391,,,,,12261,2628
RandomForest,temperature,3,0.7002665565672942,0.9237982568300116,0.9751359040079702,,,,,12261,2628
HistGradientBoosting,temperature,3,0.6881999587802717,0.9023786600668297,0.9762755567417577,,,,,12261,2628
NaivePersistence,temperature,6,4.397359817351598,5.5587674888858425,0.09972453492038824,,,,,12259,2628
RandomForest,temperature,6,0.9749225739510704,1.270124474707443,0.9529985813524632,,,,,12259,2628
HistGradientBoosting,temperature,6,0.8911725608865485,1.1683639099240206,0.9602282533937591,,,,,12259,2628
NaivePersistence,temperature,12,6.294125329272934,7.426412230115919,-0.6073324083451626,,,,,12255,2627
RandomForest,temperature,12,0.9024010128105181,1.174001653462309,0.9598315555956307,,,,,12255,2627
HistGradientBoosting,temperature,12,0.9075928993711997,1.1747071370074478,0.9597832648781588,,,,,12255,2627
NaivePersistence,temperature,24,0.8939478057142861,1.2005133376473658,0.9579709299338879,,,,,12247,2625
RandomForest,temperature,24,0.937904178364197,1.2421579360887265,0.9550044630401133,,,,,12247,2625
HistGradientBoosting,temperature,24,1.0035010031138598,1.3061532176368573,0.9502487437593606,,,,,12247,2625
NaiveAlwaysNoRain,rainfall,1,,,,0.0,0.0,0.0,,12263,2628
RandomForest,rainfall,1,,,,0.7027027027027027,0.7722772277227723,0.7358490566037735,0.9673317009120267,12263,2628
HistGradientBoosting,rainfall,1,,,,0.652605459057072,0.8679867986798679,0.7450424929178471,0.9736378153944427,12263,2628
NaiveAlwaysNoRain,rainfall,3,,,,0.0,0.0,0.0,,12261,2628
RandomForest,rainfall,3,,,,0.5766666666666667,0.570957095709571,0.5737976782752903,0.9359906313211966,12261,2628
HistGradientBoosting,rainfall,3,,,,0.5311778290993071,0.759075907590759,0.625,0.9380545796515134,12261,2628
NaiveAlwaysNoRain,rainfall,6,,,,0.0,0.0,0.0,,12259,2628
RandomForest,rainfall,6,,,,0.5232558139534884,0.44554455445544555,0.48128342245989303,0.9196848717129777,12259,2628
HistGradientBoosting,rainfall,6,,,,0.5015105740181269,0.5478547854785478,0.5236593059936908,0.9180723233613683,12259,2628
NaiveAlwaysNoRain,rainfall,12,,,,0.0,0.0,0.0,,12255,2627
RandomForest,rainfall,12,,,,0.4866920152091255,0.42244224422442245,0.45229681978798586,0.9078492186568055,12255,2627
HistGradientBoosting,rainfall,12,,,,0.525,0.5544554455445545,0.5393258426966292,0.9082986827082019,12255,2627
NaiveAlwaysNoRain,rainfall,24,,,,0.0,0.0,0.0,,12247,2625
RandomForest,rainfall,24,,,,0.47580645161290325,0.39072847682119205,0.4290909090909091,0.8970359748327265,12247,2625
HistGradientBoosting,rainfall,24,,,,0.5375,0.4271523178807947,0.47601476014760147,0.9029657356752088,12247,2625
