valid_time,u10,v10,fg10,d2m,t2m,msl,tp,latitude,longitude
2024-01-01 00:00:00,-1.7619324,-0.23274231,2.5270002,284.76923,286.2046,101666.75,0.0,23.25,80.0
2024-01-01 01:00:00,-1.8061981,0.18641663,2.771432,284.72327,286.0353,101697.56,0.0,23.25,80.0
2024-01-01 02:00:00,-1.5892487,0.23062134,2.776984,285.1162,286.82098,101775.125,0.0,23.25,80.0
2024-01-01 03:00:00,-1.5127716,0.40782166,3.7399917,285.19455,287.47992,101832.56,0.0,23.25,80.0
2024-01-01 04:00:00,-1.3554688,0.8314209,4.413458,285.6286,288.27643,101880.06,0.0,23.25,80.0
2024-01-01 05:00:00,-0.9291382,1.5185852,5.1554303,287.94897,292.91425,101861.75,0.0,23.25,80.0
2024-01-01 06:00:00,-0.15937805,1.5721741,5.4432206,288.8278,295.0243,101740.69,0.0,23.25,80.0
2024-01-01 07:00:00,0.48553467,1.0244751,4.7824426,288.86792,295.45068,101639.69,1.9073486e-06,23.25,80.0
2024-01-01 08:00:00,0.9035187,0.53796387,4.338137,289.76727,298.20947,101490.69,4.7683716e-06,23.25,80.0
2024-01-01 09:00:00,0.8421173,0.10491943,4.01004,289.6546,298.44443,101428.56,0.0,23.25,80.0
2024-01-01 10:00:00,0.55278015,-0.38723755,3.3252041,289.12753,296.48462,101389.875,0.0,23.25,80.0
2024-01-01 11:00:00,-0.24711609,-0.68032837,2.2811685,289.7081,296.50345,101375.81,0.0,23.25,80.0
2024-01-01 12:00:00,-1.1222992,-1.5085144,2.1759684,290.17892,295.8319,101397.44,0.0,23.25,80.0
2024-01-01 13:00:00,-1.2161255,-1.4461823,3.000072,290.22778,295.4202,101418.75,0.0,23.25,80.0
2024-01-01 14:00:00,-1.3660736,-1.3410034,3.2911088,289.30536,293.58383,101521.19,0.0,23.25,80.0
2024-01-01 15:00:00,-1.5505829,-1.1883392,3.4055562,287.96335,291.35864,101584.5,0.0,23.25,80.0
2024-01-01 16:00:00,-1.6503601,-1.0718689,3.6027389,288.02176,291.4515,101644.56,0.0,23.25,80.0
2024-01-01 17:00:00,-1.6763458,-1.0554047,3.6324973,287.26947,289.43576,101651.625,0.0,23.25,80.0
2024-01-01 18:00:00,-1.4885559,-1.1582947,3.4736795,287.09955,289.2145,101635.875,0.0,23.25,80.0
2024-01-01 19:00:00,-1.3410034,-1.0583801,3.1054769,287.09772,289.33197,101585.31,0.0,23.25,80.0
2024-01-01 20:00:00,-1.2510071,-1.0256042,2.9941328,286.48795,288.33838,101584.0,0.0,23.25,80.0
2024-01-01 21:00:00,-1.2606812,-0.9351196,2.8799813,286.43024,287.84457,101557.56,0.0,23.25,80.0
2024-01-01 22:00:00,-1.2151031,-0.60110474,2.7100308,286.3362,286.73688,101579.875,0.0,23.25,80.0
2024-01-01 23:00:00,-1.20607,-0.5533142,2.7253277,286.1075,286.44666,101584.19,0.0,23.25,80.0
2024-01-02 00:00:00,-1.400528,-0.22076416,2.697132,286.4846,287.4621,101582.69,0.0,23.25,80.0
2024-01-02 01:00:00,-1.4169006,-0.04611206,2.7184,286.45398,287.4857,101647.875,0.0,23.25,80.0
